,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
0,31,2,0,0,1,0,1,0,0,0,1
1,4,3,0,0,1,1,0,0,1,0,0
2,3,2,0,0,1,0,0,0,1,0,0
3,11,3,1,0,0,1,0,0,1,0,0
4,12,1,0,0,1,0,0,0,1,0,0
5,9,1,0,0,1,0,0,0,1,0,0
6,1,1,1,0,0,0,0,0,0,0,0
7,49,10,1,0,0,0,0,1,1,7,0
8,12,2,1,0,0,0,1,0,0,1,1
9,3,1,0,0,0,0,1,0,0,0,0
10,443,6,1,1,0,3,0,1,1,0,0
11,4,1,0,0,0,0,0,0,1,0,0
12,1,1,0,0,0,0,1,0,0,0,0
13,3,2,1,0,0,0,0,0,1,0,0
14,17,4,0,0,2,4,0,0,2,0,0
15,693,6,1,1,0,3,0,0,1,0,0
16,7,2,1,0,0,0,0,0,1,0,0
17,13,2,0,0,1,0,0,0,1,0,0
18,25,3,1,1,0,1,1,0,0,0,1
19,21,7,1,1,0,4,0,0,1,0,0
20,337,2,0,0,1,0,0,0,1,0,0
21,4,3,0,1,1,0,0,0,1,0,0
22,2,1,0,0,0,0,0,0,1,0,0
23,23,3,0,0,0,0,1,1,0,1,0
24,3,1,0,0,1,0,0,0,0,0,0
25,179,3,1,1,0,1,1,0,0,0,0
26,1,1,0,0,0,0,0,0,1,0,0
27,5,1,0,0,0,0,1,0,0,0,0
28,12,1,0,0,0,0,0,0,2,0,0
29,3,1,0,0,2,0,0,0,0,0,0
30,18,1,0,0,1,0,0,0,0,0,0
31,69,16,0,0,0,0,1,2,0,13,0
32,7,1,0,0,1,0,0,0,0,0,0
33,9,1,0,0,0,0,0,0,1,0,0
34,13,6,0,1,1,4,0,0,0,0,0
35,2,2,1,0,0,1,0,0,0,0,0
36,1,1,1,0,0,0,0,0,0,0,0
37,1,1,0,0,0,0,1,0,0,0,0
38,39,1,1,0,0,0,0,0,0,0,0
39,235,17,0,0,0,0,0,3,1,13,0
40,70,2,1,0,0,0,0,0,1,0,0
41,12,2,1,0,0,0,1,0,0,0,0
42,13,2,1,0,0,0,0,0,1,0,0
43,162,8,0,0,0,0,0,3,1,4,0
44,284,7,1,0,0,6,0,1,1,0,1
45,235,27,0,0,1,0,1,3,0,22,1
46,11,3,1,0,0,1,1,1,0,0,0
47,2,1,0,0,1,0,0,0,0,0,0
48,5,3,0,0,1,1,0,0,1,0,0
49,8,1,1,0,0,0,0,0,0,0,0
50,117,2,1,0,0,0,1,0,0,1,0
51,1,1,0,0,0,0,1,0,0,0,0
52,1,1,0,0,1,0,0,0,0,0,0
53,21,2,0,0,2,0,0,0,2,0,0
54,19,2,0,0,1,0,0,0,1,0,0
55,106,2,1,0,0,0,1,1,0,0,0
56,130,6,0,1,1,4,0,0,1,0,0
57,1,1,0,0,1,0,0,0,0,0,0
58,6,1,1,0,0,0,0,0,0,0,0
59,1,1,0,0,1,0,0,0,0,0,0
60,86,1,1,0,0,0,0,0,0,0,0
61,11,1,0,0,0,0,0,0,1,0,0
62,36,3,1,0,0,1,0,0,1,0,0
63,8,3,1,1,0,0,0,0,1,0,0
64,4,1,0,0,1,0,0,0,0,0,0
65,25,5,1,0,0,3,0,0,1,0,0
66,47,1,1,0,0,0,0,0,0,0,0
67,86,2,0,0,2,2,0,0,2,0,1
68,120,2,1,0,0,0,1,0,0,0,1
69,3,3,0,0,1,1,0,0,1,0,0
70,6,1,1,0,0,0,0,0,0,0,0
71,5,1,1,0,0,0,1,0,0,0,0
72,13,1,1,0,0,0,1,0,0,0,0
73,1,1,1,0,0,0,0,0,0,0,0
74,7,1,0,0,1,0,0,0,1,0,0
75,3,1,0,0,1,0,0,0,0,0,0
76,22,4,0,0,1,1,1,0,0,1,0
77,2,1,0,0,1,0,0,0,0,0,0
78,1,1,0,0,1,0,0,0,0,0,0
79,7,1,0,0,0,0,1,0,0,0,0
80,104,3,1,0,0,1,0,0,1,0,0
81,17,1,1,0,0,0,0,0,0,0,0
82,1,1,0,0,1,0,0,0,0,0,0
83,97,14,1,0,0,13,0,0,1,0,0
84,224,23,1,7,0,14,0,0,1,0,0
85,9,1,0,0,0,0,1,0,0,0,0
86,1,1,0,0,0,0,1,0,0,0,0
87,7,1,0,0,0,0,1,0,0,0,0
88,46,2,1,0,0,0,0,0,1,0,0
89,3,1,1,0,0,0,0,0,0,0,0
90,3,2,1,0,0,0,0,0,1,0,0
91,761,5,1,0,0,0,1,2,0,2,0
92,32,1,0,0,0,0,0,0,1,0,0
93,1,1,0,0,1,0,0,0,0,0,0
