,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
0,4,1,0,0,1,0,0,0,0,0,0
1,5,1,0,0,1,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,1,0,0
3,32,3,0,0,1,1,1,0,0,0,0
4,4,1,0,0,0,0,1,0,0,0,0
5,42,4,0,2,1,1,0,0,0,0,0
6,18,1,0,0,1,0,0,0,0,0,0
7,25,2,0,0,1,0,1,0,0,0,0
8,25,1,0,0,1,0,0,0,0,0,0
9,2,1,0,0,0,0,0,0,1,0,0
10,6,2,0,0,1,1,0,0,1,0,0
11,4,1,0,0,1,0,0,0,0,0,0
12,39,3,0,1,1,0,1,0,0,0,0
13,27,1,0,0,0,0,1,0,0,0,0
14,17,2,0,0,1,0,0,0,1,0,0
15,1,1,0,0,0,0,0,0,1,0,0
16,2,1,0,0,1,0,0,0,0,0,0
17,4,1,0,0,0,0,1,0,0,0,0
18,30,2,1,0,0,0,1,0,0,0,0
19,4,2,1,0,0,0,0,0,1,0,0
20,16,3,0,0,2,2,0,0,2,0,0
21,70,5,0,0,1,4,0,0,1,0,0
22,112,5,1,0,0,0,1,1,0,2,0
23,1916,10,0,0,0,0,1,2,0,7,0
24,56,1,1,0,0,0,1,0,0,0,0
25,9,2,1,0,0,0,0,0,1,0,0
26,2,1,0,0,1,0,0,0,0,0,0
27,278,6,1,1,0,3,0,1,1,0,0
28,1,1,0,0,1,0,0,0,0,0,0
29,12,1,0,0,0,0,0,0,1,0,0
30,1,1,0,0,1,0,0,0,0,0,0
31,60,2,0,0,1,0,0,0,1,0,0
32,3,3,0,0,1,2,0,0,0,0,0
33,4,2,0,0,0,0,1,0,0,1,0
34,109,2,1,0,0,0,0,0,1,0,0
35,260,36,1,3,0,32,0,0,0,0,0
36,2,1,0,0,0,0,1,0,0,0,0
37,2,2,0,0,1,0,0,0,1,0,0
