,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
0,1,1,0,0,0,0,1,0,0,0,0
1,4843,12,0,3,1,8,0,0,0,0,0
2,2,2,1,0,0,0,0,0,1,0,0
3,5,1,0,0,1,0,0,0,0,0,0
4,57,1,1,0,0,0,0,0,0,0,0
5,4,1,1,0,0,0,0,0,0,0,0
6,4,4,0,0,1,2,0,0,1,0,0
7,269,7,0,0,1,5,0,0,1,0,0
8,1,1,0,0,1,0,0,0,0,0,0
9,4,1,1,0,0,0,0,0,0,0,0
10,287,7,0,0,1,0,0,2,1,3,0
11,3,3,0,0,1,1,0,0,1,0,0
12,1,1,0,0,1,0,0,0,0,0,0
13,12,1,0,0,0,0,1,0,0,0,0
14,1791,32,1,1,0,0,1,3,0,28,0
15,1,1,0,0,1,0,0,0,0,0,0
16,100,4,1,1,0,1,0,0,1,0,0
17,1,1,0,0,1,0,0,0,0,0,0
18,4,3,1,1,0,0,0,0,1,0,0
19,39,2,0,1,1,0,0,0,0,0,0
20,62,1,0,0,0,0,1,0,0,0,0
21,4,2,1,0,0,0,0,0,1,0,0
22,44,3,0,0,1,1,0,0,1,0,0
23,28,2,1,0,0,0,0,0,1,0,0
24,49,4,1,0,0,0,0,1,1,1,0
25,10,5,1,0,0,0,0,0,1,3,0
26,40,1,0,0,1,0,0,0,0,0,0
27,124,2,0,0,2,2,0,0,0,0,0
28,7,3,1,1,0,1,0,0,0,0,0
29,1,1,1,0,0,0,0,0,0,0,0
30,7,3,0,0,2,2,0,0,2,0,0
31,16,1,1,0,0,0,0,0,0,0,0
32,7,2,0,0,0,0,0,0,1,1,0
33,15,1,0,0,1,0,0,0,0,0,0
34,3,1,0,0,0,0,1,0,0,0,0
35,113,18,1,0,0,17,0,0,0,0,0
36,14,1,1,0,0,0,0,0,0,0,0
37,1,1,0,0,0,0,1,0,0,0,0
38,131,5,0,0,0,0,1,1,0,3,0
39,2,1,0,0,0,0,0,0,1,0,0
40,480,2,0,0,1,0,1,0,0,0,0
41,5,1,1,0,0,0,0,0,0,0,0
42,26,2,1,0,0,0,1,0,0,1,0
43,11,2,1,0,0,0,0,0,1,0,0
44,1,1,1,0,0,0,0,0,0,0,0
45,4,1,0,0,2,0,0,0,0,0,0
46,3,1,1,0,0,0,0,0,0,0,0
47,8,3,0,0,2,0,0,0,2,2,0
48,115,6,0,1,1,4,0,0,1,0,0
49,23,1,0,0,0,0,1,0,0,0,0
50,1326,3,1,0,0,1,0,0,1,0,0
51,9,1,0,0,1,0,0,0,1,0,0
52,129,8,0,0,0,0,1,0,0,7,0
53,1,1,1,0,0,0,0,0,0,0,0
54,1,1,0,0,1,0,0,0,0,0,0
55,2,2,1,0,0,1,0,0,0,0,0
56,15,1,1,0,0,0,0,0,0,0,0
57,1,1,0,0,1,0,0,0,0,0,0
58,21,2,0,0,2,0,0,0,2,0,0
59,3,1,0,0,1,0,0,0,0,0,0
60,5,2,0,1,1,0,0,0,0,0,0
61,1,1,0,0,1,0,0,0,0,0,0
62,11,1,1,0,0,0,1,0,0,0,0
63,1,1,0,0,0,0,0,0,1,0,0
64,61,1,0,0,0,0,0,0,1,0,0
65,23,9,0,0,1,1,0,3,1,4,0
66,2,1,0,0,1,0,0,0,0,0,0
67,44,2,1,0,0,0,0,0,1,0,0
68,2,1,1,0,0,0,0,0,0,0,0
69,77,1,1,0,0,0,0,0,0,0,0
70,8,2,0,0,1,0,0,0,1,0,0
71,4,2,0,0,0,0,1,0,0,1,0
72,21,1,0,0,1,0,0,0,0,0,0
73,17,1,1,0,0,0,0,0,0,0,0
74,198,5,1,2,0,2,1,0,0,0,0
75,24,1,0,0,1,0,0,0,1,0,0
76,11,3,1,0,0,0,1,1,0,0,0
77,94,22,1,2,0,18,0,0,1,0,0
78,1,1,0,0,1,0,0,0,0,0,0
79,3,2,1,0,0,1,1,0,0,0,0
80,12,1,0,0,1,0,0,0,0,0,0
81,3,1,1,0,0,0,0,0,0,0,0
82,1,1,0,0,0,0,0,0,2,0,0
83,50,1,0,0,2,0,0,0,0,0,0
84,21,3,1,0,0,1,1,0,0,0,0
85,4,1,1,0,0,0,0,0,0,0,0
86,119,3,1,1,0,0,1,0,0,0,0
87,20,1,1,0,0,0,0,0,0,0,0
88,30,14,1,3,0,10,0,0,0,0,0
89,1,1,0,0,1,0,0,0,0,0,0
90,1,1,0,0,0,0,0,0,1,0,0
91,1,1,0,0,1,0,0,0,0,0,0
92,2,1,0,0,1,0,0,0,0,0,0
93,13,3,0,0,1,0,1,1,0,0,0
94,2,1,0,0,1,0,0,0,0,0,0
95,4,3,0,1,1,1,0,0,0,0,0
96,3,2,1,0,0,0,1,0,0,0,0
97,6,2,1,0,0,0,0,0,1,0,0
98,2,1,0,0,2,0,0,0,0,0,0
99,1,1,0,0,1,0,0,0,0,0,0
100,1,1,0,0,1,0,0,0,0,0,0
101,8,1,0,0,0,0,0,0,1,0,0
102,41,4,1,0,0,2,0,0,1,0,0
103,10,1,0,0,0,0,1,0,0,0,0
104,1,1,0,0,1,0,0,0,0,0,0
105,58,4,0,1,1,1,0,0,1,0,0
106,1,1,0,0,0,0,0,0,1,0,0
107,27,1,0,0,0,0,1,0,0,0,0
108,3,2,0,0,0,0,0,0,1,1,0
109,9,1,0,0,1,0,0,0,0,0,0
110,1,1,0,0,0,0,1,0,0,0,0
111,1,1,0,0,1,0,0,0,0,0,0
112,4,1,0,0,0,0,0,0,1,0,0
113,8,2,1,0,0,0,0,0,1,0,0
114,1,1,0,0,0,0,1,0,0,0,0
115,2,1,1,0,0,0,0,0,0,0,0
116,2,1,0,0,1,0,0,0,0,0,0
117,11,1,1,0,0,0,1,0,0,0,0
118,3,1,1,0,0,0,0,0,0,0,0
119,1,1,0,0,1,0,0,0,0,0,0
120,14,11,1,3,0,6,1,0,0,0,0
121,3,1,0,0,1,0,0,0,0,0,0
122,2,1,0,0,0,0,1,0,0,0,0
123,1,1,1,0,0,0,0,0,0,0,0
124,7,2,0,0,1,0,0,0,1,0,0
125,4,2,0,0,1,0,1,0,0,0,0
126,8,1,1,0,0,0,0,0,0,0,0
127,1,1,0,0,2,0,0,0,0,0,0
128,3,2,0,0,1,0,0,0,1,0,0
129,3,1,0,0,0,0,0,0,1,0,0
130,7,1,1,0,0,0,0,0,0,0,0
131,1,1,0,0,1,0,0,0,0,0,0
132,42,1,1,0,0,0,1,0,0,0,0
133,1,1,0,0,0,0,1,0,0,0,0
134,244,4,1,0,0,2,0,1,1,0,0
135,8,1,1,0,0,0,0,0,0,0,0
136,2,1,0,0,1,0,0,0,0,0,0
137,12,2,1,0,0,0,1,0,0,0,0
138,419,4,1,0,0,0,0,1,1,1,0
139,1,1,0,0,1,0,0,0,0,0,0
140,81,6,0,0,2,10,0,0,2,0,0
141,1,1,0,0,0,0,0,0,1,0,0
142,2,1,0,0,1,0,0,0,0,0,0
143,4,1,0,0,1,0,0,0,0,0,0
144,3,1,1,0,0,0,0,0,0,0,0
145,1,1,1,0,0,0,0,0,0,0,0
146,4,3,1,1,0,0,0,0,1,0,0
147,18,1,1,0,0,0,0,0,0,0,0
148,3,1,0,0,1,0,0,0,1,0,0
149,2,1,0,0,1,0,0,0,0,0,0
150,5,1,0,0,0,0,1,0,0,0,0
151,11,3,0,1,1,0,0,0,1,0,0
152,12,2,1,0,0,0,0,0,1,0,0
153,435,8,1,2,0,5,0,0,0,0,0
154,20,2,1,0,0,0,1,0,0,0,0
155,2,1,0,0,1,0,0,0,0,0,0
156,28,1,0,0,0,0,1,0,0,0,0
157,17,1,0,0,1,0,0,0,0,0,0
158,4,1,0,0,1,0,0,0,0,0,0
159,1,1,1,0,0,0,0,0,0,0,0
160,1,1,0,0,1,0,0,0,0,0,0
161,3,2,1,0,0,0,0,0,1,0,0
162,1,1,0,0,1,0,0,0,0,0,0
163,25,1,1,0,0,0,0,0,0,0,0
164,207,17,0,0,2,32,0,0,2,0,0
165,1,1,0,0,1,0,0,0,0,0,0
166,1,1,0,0,0,0,0,0,1,0,0
167,3,1,1,0,0,0,0,0,0,0,0
168,475,39,1,7,0,31,0,0,0,0,0
169,17,6,0,0,0,0,1,1,0,4,0
170,2,1,0,0,1,0,0,0,0,0,0
171,576,1,1,0,0,0,1,0,0,0,0
172,9,2,1,0,0,1,0,0,0,0,0
173,1,1,0,0,1,0,0,0,0,0,0
174,26,2,0,0,1,0,0,0,1,0,0
175,4,1,0,0,0,0,0,0,1,0,0
176,1,1,1,0,0,0,0,0,0,0,0
177,1,1,1,0,0,0,0,0,0,0,0
178,1,1,0,0,1,0,0,0,0,0,0
179,1,1,1,0,0,0,0,0,0,0,0
180,18,1,0,0,0,0,0,0,2,0,0
181,6,1,0,0,1,0,0,0,1,0,0
182,19,1,1,0,0,0,0,0,0,0,0
183,102,4,1,0,0,2,0,0,1,0,0
184,4,1,0,0,1,0,0,0,0,0,0
185,2,2,0,0,1,0,0,0,1,0,0
186,18,2,1,0,0,0,1,0,0,0,0
187,9,4,0,0,2,4,0,0,2,0,0
188,54,9,0,3,1,5,0,0,1,0,0
189,7,1,0,0,1,0,0,0,1,0,0
190,7,2,1,0,0,0,1,0,0,0,0
191,11,4,1,2,0,1,0,0,0,0,0
192,1,1,1,0,0,0,0,0,0,0,0
193,28,2,1,0,0,0,1,1,0,0,0
194,322,2,0,0,1,0,1,0,0,0,0
195,4,2,0,0,1,0,0,0,1,0,0
196,1,1,0,0,1,0,0,0,0,0,0
197,61,6,1,0,0,4,0,0,1,0,0
198,52,1,0,0,0,0,1,0,0,0,0
199,50,5,0,0,2,8,0,0,2,0,0
200,89,2,0,0,1,0,0,0,1,0,0
201,2,1,0,0,2,0,0,0,0,0,0
202,50,18,0,0,1,16,1,0,0,0,0
203,26,4,1,0,0,0,1,0,0,2,0
204,4,2,0,0,1,0,0,0,1,0,0
205,95,1,0,0,0,0,0,0,1,0,0
206,69,3,1,0,0,1,0,0,1,0,0
207,24,1,0,0,0,0,0,0,1,0,0
208,85,15,1,3,0,10,0,0,1,0,0
209,1,1,0,0,1,0,0,0,0,0,0
210,8,4,0,0,2,4,0,0,2,0,0
211,4,1,0,0,1,0,0,0,0,0,0
212,149,6,0,1,1,3,0,0,1,0,0
213,4,1,1,0,0,0,0,0,0,0,0
214,11,5,0,1,1,2,0,0,1,0,0
215,7,2,0,0,1,0,1,0,0,0,0
216,3,1,0,0,0,0,0,0,1,0,0
217,662,3,0,0,2,2,0,0,2,0,0
218,253,11,1,4,0,5,0,0,1,0,0
219,2,2,1,0,0,0,0,0,1,0,0
220,1,1,0,0,0,0,1,0,0,0,0
221,13,12,0,1,1,9,0,0,1,0,0
222,17,1,1,0,0,0,0,0,0,0,0
223,7,1,0,0,0,0,1,0,0,0,0
224,24,1,1,0,0,0,0,0,0,0,0
225,64,6,0,0,1,4,0,0,1,0,0
226,24,4,1,2,0,1,1,0,0,0,0
227,7,1,0,0,0,0,1,0,0,0,0
228,2,1,0,0,1,0,0,0,0,0,0
229,780,10,1,2,0,7,0,0,0,0,0
230,1,1,0,0,1,0,0,0,0,0,0
231,3,1,0,0,0,0,0,0,1,0,0
232,1,1,0,0,1,0,0,0,0,0,0
233,1,1,0,0,1,0,0,0,0,0,0
234,2,1,1,0,0,0,0,0,0,0,0
235,1,1,0,0,1,0,0,0,0,0,0
236,1,1,0,0,0,0,0,0,1,0,0
237,568,3,0,0,0,0,0,1,1,1,0
238,1,1,0,0,0,0,1,0,0,0,0
239,1,1,0,0,1,0,0,0,0,0,0
240,47,2,0,0,2,2,0,0,2,0,0
241,1,1,0,0,0,0,1,0,0,0,0
242,5,2,0,0,0,0,1,1,0,0,0
243,3,3,0,0,1,1,0,0,1,0,0
244,6,1,0,0,1,0,0,0,0,0,0
245,7,1,0,0,0,0,1,0,0,0,0
246,3,2,0,0,1,0,0,0,1,0,0
247,2,1,1,0,0,0,0,0,0,0,0
248,5,2,1,0,0,0,1,0,0,0,0
249,57,8,1,1,0,6,0,0,0,0,0
250,1,1,0,0,1,0,0,0,0,0,0
251,250,2,0,1,1,0,0,0,1,0,0
252,35,3,0,0,1,0,1,0,0,1,0
253,11,1,1,0,0,0,0,0,0,0,0
254,61,1,1,0,0,0,0,0,0,0,0
255,10,1,0,0,1,0,0,0,1,0,0
256,29,1,0,0,1,0,0,0,0,0,0
257,35,3,0,1,1,0,1,0,0,0,0
258,6,1,0,0,1,0,0,0,0,0,0
259,50,2,1,0,0,0,1,1,0,0,0
260,34,1,1,0,0,0,1,0,0,0,0
261,414,9,0,0,1,0,1,1,0,6,0
262,6,1,1,0,0,0,0,0,0,0,0
263,8,2,0,0,1,0,0,0,1,0,0
264,2,1,0,0,1,0,0,0,0,0,0
265,6,4,0,0,0,0,0,1,1,2,0
266,4843,12,0,3,1,8,0,0,0,0,0
267,1,1,0,0,1,0,0,0,0,0,0
268,4,2,0,0,1,0,0,0,1,0,0
269,1,1,0,0,1,0,0,0,0,0,0
270,4,1,1,0,0,0,0,0,0,0,0
271,1,1,0,0,0,0,0,0,1,0,0
272,123,1,1,0,0,0,1,0,0,0,0
273,2,1,0,0,0,0,0,0,1,0,0
274,353,8,0,0,1,0,0,1,1,6,0
275,328,1,1,0,0,0,1,0,0,0,0
276,32,6,1,3,0,2,0,0,0,0,0
277,787,18,1,3,0,14,0,0,0,0,0
278,145,24,1,2,0,20,0,0,1,0,0
279,242,7,1,0,0,4,1,1,0,1,0
280,3,2,1,0,0,0,0,0,1,0,0
281,1,1,0,0,1,0,0,0,0,0,0
282,3,1,1,0,0,0,1,0,0,0,0
283,99,1,0,0,0,0,0,0,1,0,0
284,1,1,0,0,1,0,0,0,0,0,0
285,14,1,0,0,0,0,1,0,0,0,0
286,3,1,0,0,0,0,1,0,0,0,0
287,1,1,0,0,0,0,1,0,0,0,0
