Index,Classifier,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC
DNN,MLP,Under,0,0.78,0.99,0.78,0.87,0.86
DNN,MLP,Under,1,0.78,0.16,0.78,0.26,0.86
DNN,MLP,Over,0,0.78,0.99,0.78,0.87,0.87
DNN,MLP,Over,1,0.78,0.16,0.81,0.27,0.87
DNN,MLP,Both,0,0.85,0.98,0.86,0.92,0.87
DNN,MLP,Both,1,0.85,0.21,0.68,0.32,0.87
DNN,MLP,Smote,0,0.79,0.98,0.79,0.88,0.83
DNN,MLP,Smote,1,0.79,0.16,0.74,0.26,0.83
DNN,MLP,BorderlineSmote,0,0.79,0.98,0.80,0.88,0.84
DNN,MLP,BorderlineSmote,1,0.79,0.15,0.70,0.25,0.84
DNN,MLP,SVMSmote,0,0.87,0.97,0.89,0.93,0.79
DNN,MLP,SVMSmote,1,0.87,0.19,0.50,0.28,0.79
DNN,MLP,Adasyn,0,0.78,0.98,0.78,0.87,0.83
DNN,MLP,Adasyn,1,0.78,0.15,0.75,0.25,0.83
DNN,MLP,Rose,0,0.93,0.96,0.97,0.96,0.74
DNN,MLP,Rose,1,0.93,0.31,0.25,0.28,0.74
DNN,Sequential,Under,0,0.72,0.99,0.72,0.83,0.86
DNN,Sequential,Under,1,0.72,0.14,0.85,0.24,0.86
DNN,Sequential,Over,0,0.77,0.99,0.77,0.87,0.86
DNN,Sequential,Over,1,0.77,0.16,0.80,0.26,0.86
DNN,Sequential,Both,0,0.86,0.98,0.87,0.92,0.87
DNN,Sequential,Both,1,0.86,0.22,0.67,0.33,0.87
DNN,Sequential,Smote,0,0.78,0.98,0.78,0.87,0.84
DNN,Sequential,Smote,1,0.78,0.15,0.76,0.26,0.84
DNN,Sequential,BorderlineSmote,0,0.76,0.99,0.76,0.86,0.84
DNN,Sequential,BorderlineSmote,1,0.76,0.15,0.78,0.24,0.84
DNN,Sequential,SVMSmote,0,0.84,0.98,0.86,0.91,0.8
DNN,Sequential,SVMSmote,1,0.84,0.18,0.58,0.27,0.8
DNN,Sequential,Adasyn,0,0.78,0.98,0.78,0.87,0.83
DNN,Sequential,Adasyn,1,0.78,0.15,0.71,0.24,0.83
DNN,Sequential,Rose,0,0.93,0.96,0.96,0.96,0.82
DNN,Sequential,Rose,1,0.93,0.28,0.26,0.27,0.82
LSTM,MLP,Under,0,0.76,0.99,0.75,0.85,0.85
LSTM,MLP,Under,1,0.76,0.15,0.80,0.25,0.85
LSTM,MLP,Over,0,0.77,0.99,0.77,0.87,0.87
LSTM,MLP,Over,1,0.77,0.16,0.81,0.26,0.87
LSTM,MLP,Both,0,0.88,0.98,0.89,0.93,0.86
LSTM,MLP,Both,1,0.88,0.22,0.58,0.32,0.86
LSTM,MLP,Smote,0,0.8,0.98,0.80,0.88,0.84
LSTM,MLP,Smote,1,0.8,0.16,0.73,0.27,0.84
LSTM,MLP,BorderlineSmote,0,0.77,0.98,0.77,0.86,0.84
LSTM,MLP,BorderlineSmote,1,0.77,0.15,0.75,0.25,0.84
LSTM,MLP,SVMSmote,0,0.86,0.97,0.88,0.92,0.81
LSTM,MLP,SVMSmote,1,0.86,0.19,0.54,0.28,0.81
LSTM,MLP,Adasyn,0,0.75,0.98,0.75,0.85,0.84
LSTM,MLP,Adasyn,1,0.75,0.14,0.77,0.23,0.84
LSTM,MLP,Rose,0,0.92,0.96,0.95,0.96,0.81
LSTM,MLP,Rose,1,0.92,0.24,0.28,0.26,0.81
LSTM,Sequential,Under,0,0.76,0.99,0.76,0.86,0.87
LSTM,Sequential,Under,1,0.76,0.15,0.81,0.25,0.87
LSTM,Sequential,Over,0,0.77,0.99,0.77,0.86,0.87
LSTM,Sequential,Over,1,0.77,0.16,0.82,0.26,0.87
LSTM,Sequential,Both,0,0.85,0.98,0.86,0.92,0.86
LSTM,Sequential,Both,1,0.85,0.20,0.67,0.31,0.86
LSTM,Sequential,Smote,0,0.81,0.98,0.82,0.89,0.84
LSTM,Sequential,Smote,1,0.81,0.16,0.69,0.27,0.84
LSTM,Sequential,BorderlineSmote,0,0.75,0.99,0.75,0.85,0.84
LSTM,Sequential,BorderlineSmote,1,0.75,0.14,0.79,0.24,0.84
LSTM,Sequential,SVMSmote,0,0.86,0.97,0.87,0.92,0.8
LSTM,Sequential,SVMSmote,1,0.86,0.18,0.55,0.28,0.8
LSTM,Sequential,Adasyn,0,0.76,0.98,0.76,0.86,0.84
LSTM,Sequential,Adasyn,1,0.76,0.14,0.76,0.24,0.84
LSTM,Sequential,Rose,0,0.92,0.96,0.96,0.96,0.79
LSTM,Sequential,Rose,1,0.92,0.28,0.28,0.28,0.79
GRU,MLP,Under,0,0.82,0.98,0.82,0.89,0.86
GRU,MLP,Under,1,0.82,0.18,0.72,0.28,0.86
GRU,MLP,Over,0,0.75,0.99,0.75,0.85,0.87
GRU,MLP,Over,1,0.75,0.15,0.84,0.25,0.87
GRU,MLP,Both,0,0.86,0.98,0.87,0.92,0.87
GRU,MLP,Both,1,0.86,0.21,0.68,0.32,0.87
GRU,MLP,Smote,0,0.75,0.99,0.75,0.85,0.84
GRU,MLP,Smote,1,0.75,0.14,0.80,0.24,0.84
GRU,MLP,BorderlineSmote,0,0.79,0.98,0.79,0.88,0.84
GRU,MLP,BorderlineSmote,1,0.79,0.16,0.73,0.26,0.84
GRU,MLP,SVMSmote,0,0.86,0.97,0.88,0.93,0.81
